CustomerID,City,Vehicle_Model,Subscription_Plan,Rate_Per_KM,Monthly_Fee,Account_Status
CUST-0001,Pune,MG Windsor EV,Pay-Per-KM,4.02,,Active
CUST-0002,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0003,Pune,MG Windsor EV,Pay-Per-KM,3.49,,Active
CUST-0004,Delhi,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0005,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0006,Pune,Tata Punch EV,Fixed-Monthly,,1500.0,Defaulted
CUST-0007,Pune,MG Windsor EV,Pay-Per-KM,3.96,,Active
CUST-0008,Pune,Maruti e Vitara,Fixed-Monthly,,1500.0,Suspended
CUST-0009,Delhi,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0010,Delhi,MG Windsor EV,Pay-Per-KM,2.63,,Suspended
CUST-0011,Bengaluru,Tata Punch EV,Pay-Per-KM,2.87,,Suspended
CUST-0012,Pune,Maruti e Vitara,Pay-Per-KM,3.13,,Active
CUST-0013,Bengaluru,MG Windsor EV,Fixed-Monthly,,2500.0,Active
CUST-0014,Bengaluru,MG Windsor EV,Pay-Per-KM,3.72,,Active
CUST-0015,Bengaluru,MG Windsor EV,Fixed-Monthly,,2000.0,Active
CUST-0016,Pune,Maruti e Vitara,Fixed-Monthly,,2500.0,Suspended
CUST-0017,Bengaluru,Tata Punch EV,Fixed-Monthly,,3000.0,Active
CUST-0018,Delhi,Maruti e Vitara,Fixed-Monthly,,3000.0,Active
CUST-0019,Delhi,Maruti e Vitara,Fixed-Monthly,,1500.0,Active
CUST-0020,Bengaluru,Tata Punch EV,Fixed-Monthly,,2000.0,Active
CUST-0021,Pune,Tata Punch EV,Pay-Per-KM,4.1,,Suspended
CUST-0022,Bengaluru,MG Windsor EV,Pay-Per-KM,3.39,,Active
CUST-0023,Bengaluru,Maruti e Vitara,Fixed-Monthly,,2500.0,Active
CUST-0024,Pune,MG Windsor EV,Fixed-Monthly,,1500.0,Suspended
CUST-0025,Bengaluru,MG Windsor EV,Pay-Per-KM,4.01,,Suspended
CUST-0026,Bengaluru,MG Windsor EV,Pay-Per-KM,2.97,,Active
CUST-0027,Delhi,MG Windsor EV,Pay-Per-KM,3.17,,Active
CUST-0028,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Suspended
CUST-0029,Delhi,Maruti e Vitara,Fixed-Monthly,,3000.0,Suspended
CUST-0030,Pune,Tata Punch EV,Fixed-Monthly,,2500.0,Active
CUST-0031,Delhi,Maruti e Vitara,Pay-Per-KM,4.49,,Suspended
